ba_gf,num_annotations,num_images
Stylophora__Branching,8,7
Green algae,8,5
Montipora stellata__Branching,8,1
Isopora__Submassive,8,6
Zoanthid__Encrusting,7,1
Cyphastrea__Encrusting,7,4
Galaxea fascicularis__Encrusting,7,5
Gardineroseris__Massive,7,3
Rhytisma__Encrusting,7,4
Soft coral__Encrusting,7,3
Phaeophyceae,7,6
Cycloseris,7,5
Galaxea__Massive,6,5
Merulina scabricula,6,3
Turbinaria mesenterina__Plates or tables,6,1
Pavona__Arborescent,6,2
Tridacna,6,6
Turbinaria reniformis,6,5
Diploria,6,3
Turbinaria mesenterina__Foliose,6,1
Porites lichen,6,4
Porifera,6,6
Oculina varicosa,6,2
Pocillopora__Columnar,6,2
Porites__Plates or tables,6,3
Isopora__Digitate,6,1
Hard coral__Columnar,6,4
Paramontastraea peresi,6,5
Siderastrea siderea,6,4
Acropora muricata__Branching,6,2
Anacropora__Branching,6,4
Astrea,6,4
Astreopora__Encrusting,6,5
Sinularia__Encrusting,5,1
Astreopora__Submassive,5,4
Pectinia,5,5
Galaxea fascicularis,5,5
Tubipora,5,3
Porifera__Massive,5,1
Cycloseris costulata,5,5
Meandrina meandrites,5,5
Pavona__Columnar,5,1
Macroalgae__Foliose,5,3
Porifera__Encrusting,4,3
Acropora millepora__Plates or tables,4,1
Leptoria phrygia,4,1
Holothuria,4,3
Stephanocoenia intersepta,4,4
Pocillopora meandrina,4,2
Fishing net,4,2
Plesiastrea,4,3
Turbinaria-coral__Foliose,4,2
Leptoseris,4,4
Pachyseris__Foliose,4,3
Turbinaria reniformis__Encrusting,4,3
Cliona,4,2
Cycloseris__Mushroom coral,4,4
Pectinia__Branching,4,4
Coeloseris__Massive,4,1
Rubble__Foliose,4,2
Gardineroseris,4,4
Merulina,4,4
plastic,4,3
Acropora tenuis__Branching,4,1
Sponge__Submassive,3,1
Siderastrea radians,3,2
Siderastrea,3,2
Stylophora pistillata,3,2
Coralline algae__Arborescent,3,2
Pavona varians__Encrusting,3,3
Hard coral__Mushroom coral,3,3
Madracis,3,1
Merulina__Foliose,3,2
Goniastrea retiformis__Encrusting,3,3
Cladiella,3,3
Chrysocystis fragilis,3,1
Dipsastraea__Submassive,3,2
Pavona venosa__Submassive,3,2
Pavona venosa,3,2
Dipsastraea__Encrusting,3,3
Psammocora__Encrusting,3,3
Porites__Mushroom coral,3,2
Algal assemblage,3,1
Mycedium__Plates or tables,3,1
Pachyseris__Encrusting,3,2
