source_label_class_name,source_dataset_source,target_label_class_name,target_dataset_source,kingdom,phylum,order,family,genus,species,round,foliose,phaceloid,encrusting,brain,oval,branching,submassive,corymbose,massive,free_living,tubular,cup_coral,plating,external_polyps,columnar,solitary,arborescent,meandroid,tabular,lobed_brain,bushy,fleshy,digitate,dead,bleached,algae,background,anthropogenic,trash,transect,macroalgae,dark,class,human,sand,hard_substrate
dead clam,coralscapes,dead giant clam,coralscapes_v2,animalia,mollusca,cardiida,cardiidae,tridacna,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bivalvia,FALSE,FALSE,FALSE
encrusting coral alive,coralscapes_v2,,,animalia,cnidaria,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE
feather worm,coralscapes_v2,sabellidae,mermaid,animalia,annelida,sabellida,sabellidae,not_given,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,polychaeta,FALSE,FALSE,FALSE
fish,coralscapes_v2,,,animalia,chordata,none,none,none,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE
fish,coralscapes,fish,coralscapes_v2,animalia,chordata,none,none,none,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE
galaxea alive,coralscapes_v2,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,FALSE,not_given,FALSE,TRUE,not_given,FALSE,FALSE,TRUE,FALSE,TRUE,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,FALSE,not_given,FALSE,not_given,not_given,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE
galaxea bleached,coralscapes_v2,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,FALSE,not_given,FALSE,TRUE,not_given,FALSE,FALSE,TRUE,FALSE,TRUE,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,FALSE,not_given,FALSE,not_given,not_given,not_given,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE
galaxea dead,coralscapes_v2,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,FALSE,not_given,FALSE,TRUE,not_given,FALSE,FALSE,TRUE,FALSE,TRUE,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,FALSE,not_given,FALSE,not_given,not_given,not_given,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,not_given
hard coral alive,coralscapes_v2,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not_given,not_given,FALSE,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE
hard coral bleached,coralscapes_v2,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not_given,not_given,FALSE,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE
hard coral dead,coralscapes_v2,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not_given,not_given,FALSE,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,not_given,not_given,not_given,not_given,not_given,not_given,not_given,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,not_given
hard substrate,coralscapes_v2,,,none,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,TRUE
unknown hard substrate,coralscapes,hard substrate,coralscapes_v2,none,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,TRUE
human,coralscapes_v2,,,none,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,TRUE,FALSE,FALSE
human,coralscapes,human,coralscapes_v2,none,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,TRUE,FALSE,FALSE
