name,source,should_map_to_label,should_map_to_label_source,kingdom,phylum,order,family,genus,species,oval,arborescent,encrusting,digitate,meandroid,columnar,free_living,plating,fleshy,submassive,round,massive,tubular,bushy,external_polyps,foliose,solitary,brain,phaceloid,branching,tabular,corymbose,lobed_brain,cup_coral,dead,bleached,algae,background,anthropogenic,trash,transect,macroalgae,dark,class
astreo,moorea_labeled_corals,astreopora,mermaid,animalia,cnidaria,scleractinia,acroporidae,astreopora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acropora,pacific_labeled_corals,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
all other,pacific_labeled_corals,other,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
bare substrate,pacific_labeled_corals,hard substrate,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
soft coral,pacific_labeled_corals,soft coral (malacalcyonacea) alive,coralscapes,animalia,cnidaria,malacalcyonacea,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,octocorallia
sponges,pacific_labeled_corals,sponge,coralscapes,animalia,porifera,not_given,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,not_given
transect hardware,pacific_labeled_corals,transect tools,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,True,False,True,False,False,none
turf,pacific_labeled_corals,turf algae,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,none
unclear,pacific_labeled_corals,background,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,True,False,False,False,False,False,none
aarcheri,catlin_seaview,aplysina archeri,mermaid,animalia,porifera,verongiida,aplysinidae,aplysina,aplysina_archeri,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,demospongiae
acervicornis,catlin_seaview,acropora cervicornis,mermaid,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_cervicornis,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acompresa,catlin_seaview,amphimedon compressa,mermaid,animalia,porifera,haplosclerida,niphatidae,amphimedon,amphimedon_compressa,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,demospongiae
acropora corymbose/tabular/plate,catlin_seaview,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acropora digitate,catlin_seaview,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acroporidae other,catlin_seaview,acroporidae,mermaid,animalia,cnidaria,scleractinia,acroporidae,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
