Latitude,Longitude,Depth,Date,Source ID
16P 669483,1756059,,2021-09-08,s2969
16P 669483,1756059,,2021-09-09,s2969
,,3m,1976-09-15,s2971
,,,2014-02-27,s299
,,,2023-02-22,s2991
,,,2022-02-24,s3004
,,,2022-02-25,s3007
,,,2022-02-26,s3008
,,,2022-02-26,s3010
,,,2022-02-26,s3011
,,,2022-02-26,s3012
,,12.0,2022-02-26,s3013
,,,2022-02-26,s3013
9.621635,-84.645664,0,2014-10-11,s3032
,,,2012-12-05,s3046
,,,2014-08-17,s3063
,,,2017-08-28,s3064
,,10.0,2019-05-01,s307
,,,2021-12-06,s3156
,,,2022-03-21,s3172
,,,2021-01-11,s3197
,,3,,s3241
,,,2022-05-18,s3263
,,,2022-03-24,s3290
,,,2022-05-19,s3290
,,,2023-06-08,s3290
,,,2022-06-14,s3290
,,,2022-06-30,s3290
31.0,71.0,4m,2022-06-05,s3295
31.0,71.0,4m,2022-04-04,s3295
,,,2022-03-26,s3300
,,10.7,2022-06-06,s3327
,,,2018-12-05,s3346
,,,2019-10-10,s3349
,,,2022-05-29,s3350
,,,2022-06-20,s3357
18.807669,145.676437,,2025-06-22,s3371
19.73378,-155.01799,03m,2022-06-13,s3373
,,03m,2022-06-08,s3374
,,5m,2022-06-09,s3375
19.99096,-155.23921,03m,2022-07-18,s3376
,,3m,2022-09-15,s3377
,,3m,2022-06-09,s3378
,,3-7 m,2024-03-30,s3379
,,,2022-07-26,s3383
,,,2017-08-30,s3386
,,,2022-07-21,s3406
,,,2022-08-23,s3410
,,,2015-05-13,s350
,,,2022-08-02,s3519
24.122041,-74.47327,,2015-01-02,s3520
29.548903,34.95871,,2022-08-23,s3522
29.548887,34.958687,,2022-08-23,s3522
29.548876,34.958668,,2022-08-23,s3522
29.548861,34.958656,,2022-08-23,s3522
29.548843,34.958652,,2022-08-23,s3522
,,,2022-11-02,s3560
13.38121333,144.6529756,,2022-09-12,s3577
,,10.0,2023-08-30,s3606
,,,2022-11-01,s3627
,,,2020-07-13,s3634
,,,2001-01-01,s3637
,,,2024-04-17,s3637
-34.2076,18.4623,5.0,2023-01-18,s3680
-34.2076,18.4623,5.3,2023-01-18,s3680
-34.2076,18.4623,5.5,2023-01-18,s3680
,,10,2023-03-01,s3692
-14.977,-147.633,,2016-05-27,s3697
,,,2023-02-07,s3704
,,,2023-02-20,s3704
,,deep,2023-02-06,s3704
,,,2022-10-10,s3719
23.778698,-166.164036,,2016-09-27,s372
,,,2023-01-17,s3722
,,,2022-11-29,s3722
,,,2022-12-08,s3722
,,,2022-10-28,s3722
,,,2023-01-04,s3722
,,,2014-01-01,s373
,,,2022-10-06,s3737
,,,2021-12-22,s3749
16.802433,-88.077633,,2015-09-20,s376
,,,2022-09-15,s3765
,,,2023-03-02,s3768
,,,2019-05-11,s3773
,,,2019-06-11,s3773
,,10.0,2023-07-01,s3777
,,,2023-01-12,s3785
,,,2023-01-26,s3785
,,,2022-11-17,s3785
,,,2022-12-01,s3785
"23Â° 30' 19.68"" S","152Â° 5' 38.376"" E",,2023-03-22,s3807
"23Â° 30' 19.92"" S","152Â° 5' 38.328"" E",,2023-03-22,s3807
"23Â° 30' 19.938"" S","152Â° 5' 38.238"" E",,2023-03-22,s3807
"23Â° 30' 20.1"" S","152Â° 5' 38.136"" E",,2023-03-22,s3807
"23Â° 30' 20.118"" S","152Â° 5' 38.166"" E",,2023-03-22,s3807
,,,2024-02-01,s3922
,,10.0,,s3932
16.981362,54.678823,,2023-02-14,s3948
,,1m,2021-09-13,s3949
,,1m,2017-10-09,s3949
,,1m,2018-10-15,s3949
,,9 meters,2023-04-21,s3978
,,,2022-12-01,s3989
,,,2023-05-02,s4028
,,,2023-05-20,s4088
,,,2023-06-06,s4091
,,,2023-05-24,s4104
,,,2023-05-03,s4122
,,6.8,2023-05-30,s4124
,,7.5,2023-05-30,s4124
,,5m,2022-11-23,s4168
,,,2023-06-21,s4200
33Â°07'24.9,34Â°42'20.5,3,2023-07-03,s4205
,,,2020-06-06,s4209
,,4.9,2023-07-24,s4250
20.802806,-156.614444,7,2023-06-24,s4300
,,,2024-02-26,s4310
,,2.5,2024-05-10,s4313
-42.37123,-72.47895,10m,2023-09-03,s4341
,,45,2022-07-12,s4342
-42.620044,-64.257933,shallow,2019-09-06,s4354
-42.620008,-64.257842,shallow,2019-09-06,s4354
-42.620011,-64.257847,shallow,2019-09-06,s4354
-42.620025,-64.257872,shallow,2019-09-06,s4354
,,Deep 8-10m,,s4372
â59.4740422311,â-151.706897459,,2016-07-10,s4404
-42.0945366666667,-63.9090983333333,,2025-04-02,s4417
-38.5212616666667,-58.4489866666667,,2023-05-14,s4417
-38.5211816666667,-58.4489566666667,,2023-05-14,s4417
-38.5211766666667,-58.448965,,2023-05-14,s4417
-42.094725,-63.9093716666667,,2025-04-02,s4417
,,,2015-03-17,s4430
-5.1,150.0,14m,2023-04-21,s4435
-5.1989,150.1891,14m,2023-04-21,s4451
,,,2023-04-21,s4472
22.160129,-159.701406,,2021-06-22,s4482
,,,2015-07-04,s450
,,,2015-08-18,s450
,,,2015-09-09,s450
,,,2015-09-23,s450
,,,2015-10-14,s450
,,,2022-06-01,s4514
,,,2019-05-01,s4559
,,,2023-05-15,s4576
,,,2023-05-13,s4576
,,,2022-09-27,s4578
16.00178,-86.00432,,,s4596
,,100cm,,s4638
21,-157,~2m,2023-11-28,s4639
16.48,,,,s4659
,,,2017-01-10,s466
7.111384,171.120337,,2023-10-08,s4671
7.194924,171.087001,,2023-10-12,s4672
7.168841,171.133246,,2023-09-29,s4675
-32.02112786,115.52152035757899,,2025-02-04,s4732
-32.02107355,115.52143754437566,,2025-02-04,s4732
-32.02102024,115.52124836482108,,2025-02-04,s4732
-32.02110297,115.52111844532192,,2025-02-04,s4732
-32.02113859,115.52099028602242,,2025-02-04,s4732
,,,2022-02-02,s4750
,,,2024-05-03,s4789
,,,2024-03-18,s4861
,,,2024-04-02,s4882
,,,2024-04-08,s4915
-35.05285,117.91116,1.5m,2024-04-25,s4949
-25.05285,117.91116,1.5,2024-04-25,s4949
-35.03374,117.54597,1.5,2024-04-26,s4949
,,,2022-10-11,s4952
,,,2024-03-21,s4963
,,,2024-03-27,s4963
,,,2024-04-08,s4964
-35.03374,117.54597,3.8,2024-04-26,s4966
,,,2013-11-08,s4971
,,,2024-04-29,s4982
,,,2024-04-08,s4986
,,,2024-04-08,s4987
,,,2024-04-08,s4988
,,,2024-04-08,s4992
,,,2024-05-02,s4993
,,,2024-04-08,s4995
,,,2024-04-08,s4996
,,,2024-04-08,s4997
,,,2024-04-08,s4999
,,,2024-04-08,s5000
,,,2024-04-08,s5001
,,,2024-04-08,s5016
,,,2024-04-08,s5018
,,,2024-04-08,s5019
,,1.0,2016-04-14,s503
,,12.0,2016-04-14,s503
,,10.0,2016-04-14,s503
,,,2025-01-21,s5057
,,,2024-04-08,s5062
,,,2024-04-08,s5065
,,,2024-04-08,s5066
,,,2024-04-08,s5067
,,,2024-04-08,s5068
